Layers,3 Nodes,4 Nodes,5 Nodes,6 Nodes,7 Nodes,8 Nodes,9 Nodes
1,78.92\%,90.77\%,70.49\%,77.45\%,78.70\%,80.45\%,77.28\%
2,89.62\%,91.46\%,74.15\%,78.31\%,77.25\%,82.82\%,75.15\%
3,95.77\%,93.69\%,77.51\%,79.96\%,78.56\%,81.97\%,76.99\%
4,96.62\%,95.54\%,80.79\%,82.16\%,80.09\%,83.68\%,76.92\%
5,99.54\%,95.23\%,79.59\%,79.80\%,78.94\%,81.91\%,78.38\%
6,\textbf{100.00\%},95.65\%,84.00\%,80.33\%,82.00\%,83.01\%,78.77\%
7,99.54\%,94.35\%,81.92\%,81.37\%,81.15\%,83.04\%,77.91\%
8,98.38\%,96.96\%,81.90\%,81.82\%,80.90\%,82.96\%,77.33\%
9,\textbf{100.00\%},97.65\%,86.26\%,84.90\%,80.42\%,82.35\%,77.05\%
10,\textbf{100.00\%},98.38\%,86.44\%,82.31\%,80.45\%,82.46\%,76.12\%
11,99.62\%,98.35\%,83.67\%,84.24\%,\textbf{84.15\%},83.46\%,77.20\%
12,\textbf{100.00\%},98.81\%,86.03\%,85.90\%,81.46\%,82.43\%,76.63\%
13,\textbf{100.00\%},98.69\%,87.28\%,84.73\%,82.26\%,83.51\%,76.65\%
14,\textbf{100.00\%},97.81\%,88.36\%,85.27\%,79.96\%,\textbf{85.05\%},78.81\%
15,99.54\%,98.69\%,88.72\%,84.37\%,83.64\%,83.04\%,77.25\%
16,99.15\%,99.08\%,88.69\%,85.78\%,81.46\%,84.55\%,77.55\%
17,99.00\%,\textbf{99.38\%},88.08\%,83.63\%,83.29\%,83.41\%,78.51\%
18,99.62\%,98.92\%,88.62\%,83.10\%,81.77\%,82.28\%,\textbf{79.53\%}
19,\textbf{100.00\%},98.31\%,\textbf{89.69\%},85.39\%,82.12\%,84.33\%,77.88\%
20,\textbf{100.00\%},99.00\%,88.36\%,85.35\%,83.09\%,84.15\%,79.17\%
21,\textbf{100.00\%},98.81\%,87.64\%,85.59\%,81.94\%,84.29\%,76.61\%
22,\textbf{100.00\%},98.81\%,84.51\%,83.00\%,82.09\%,,76.92\%
23,99.54\%,99.19\%,85.85\%,85.80\%,80.91\%,83.72\%,77.08\%
24,\textbf{100.00\%},99.19\%,87.18\%,\textbf{86.10\%},79.88\%,84.98\%,76.76\%
25,\textbf{100.00\%},98.96\%,85.72\%,82.88\%,81.92\%,82.32\%,77.38\%
26,99.62\%,97.69\%,84.62\%,83.33\%,82.46\%,82.68\%,76.99\%
27,99.54\%,98.23\%,86.31\%,83.94\%,83.84\%,81.58\%,77.92\%
28,98.54\%,97.23\%,86.64\%,84.08\%,82.70\%,80.64\%,75.52\%
29,99.15\%,98.35\%,83.51\%,83.84\%,81.69\%,83.64\%,79.05\%
30,99.62\%,99.12\%,87.36\%,83.35\%,83.49\%,84.18\%,78.47\%
